scheme,bits,lam,op,n,mean_ns,median_ns,p95_ns,p99_ns,min_ns,max_ns,icert_len_bytes
bls,2048,128,PKRecon,10,39760090,39539350,45812200,45812200,36103000,45812200,59
bls,2048,128,SKGen,10,60110,60850,64100,64100,56800,64100,59
bls,2048,128,iCertGen,10,22560950,21702050,27645600,27645600,19760100,27645600,59
