scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes
gq,3072,128,iCertGen,0,120,7378900,395
gq,3072,128,SKGen,0,120,4836800,395
gq,3072,128,PKRecon,0,120,4847400,395
gq,3072,128,iCertGen,0,121,7029000,395
gq,3072,128,SKGen,0,121,4484000,395
gq,3072,128,PKRecon,0,121,4478400,395
gq,3072,128,iCertGen,0,122,7129300,395
gq,3072,128,SKGen,0,122,4729400,395
gq,3072,128,PKRecon,0,122,4562900,395
gq,3072,128,iCertGen,0,123,7200100,395
gq,3072,128,SKGen,0,123,4511800,395
gq,3072,128,PKRecon,0,123,4513900,395
gq,3072,128,iCertGen,0,124,6882300,395
gq,3072,128,SKGen,0,124,4354900,395
gq,3072,128,PKRecon,0,124,4366900,395
gq,3072,128,iCertGen,0,125,6658200,395
gq,3072,128,SKGen,0,125,3851000,395
gq,3072,128,PKRecon,0,125,4448500,395
gq,3072,128,iCertGen,0,126,6096800,395
gq,3072,128,SKGen,0,126,4437300,395
gq,3072,128,PKRecon,0,126,4184800,395
gq,3072,128,iCertGen,0,127,7028800,395
gq,3072,128,SKGen,0,127,4404800,395
gq,3072,128,PKRecon,0,127,4045700,395
gq,3072,128,iCertGen,0,128,6057700,395
gq,3072,128,SKGen,0,128,3881400,395
gq,3072,128,PKRecon,0,128,3751500,395
gq,3072,128,iCertGen,0,129,6005700,395
gq,3072,128,SKGen,0,129,3527700,395
gq,3072,128,PKRecon,0,129,3527300,395
gq,3072,128,iCertGen,0,130,5928300,395
gq,3072,128,SKGen,0,130,3904600,395
gq,3072,128,PKRecon,0,130,3890800,395
gq,3072,128,iCertGen,0,131,5665600,395
gq,3072,128,SKGen,0,131,3660200,395
gq,3072,128,PKRecon,0,131,3692700,395
gq,3072,128,iCertGen,0,132,6354800,395
gq,3072,128,SKGen,0,132,4399400,395
gq,3072,128,PKRecon,0,132,3962300,395
gq,3072,128,iCertGen,0,133,6504400,395
gq,3072,128,SKGen,0,133,3857100,395
gq,3072,128,PKRecon,0,133,4270200,395
gq,3072,128,iCertGen,0,134,6284700,395
gq,3072,128,SKGen,0,134,4123400,395
gq,3072,128,PKRecon,0,134,4471000,395
gq,3072,128,iCertGen,0,135,6288200,395
gq,3072,128,SKGen,0,135,4316600,395
gq,3072,128,PKRecon,0,135,3707900,395
gq,3072,128,iCertGen,0,136,6293800,395
gq,3072,128,SKGen,0,136,3650800,395
gq,3072,128,PKRecon,0,136,3658000,395
gq,3072,128,iCertGen,0,137,5606600,395
