scheme,bits,lam,op,n,mean_ns,median_ns,p95_ns,p99_ns,min_ns,max_ns,icert_len_bytes
gq,3072,128,PKRecon,10,3676860,3695950,3884600,3884600,3508000,3884600,395
gq,3072,128,SKGen,10,3657510,3652650,3855100,3855100,3509300,3855100,395
gq,3072,128,iCertGen,10,5704000,5691400,6118800,6118800,5492800,6118800,395
