scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes
schnorr,2048,128,SKGen,0,16,56700,44
schnorr,2048,128,PKRecon,0,16,5103800,44
schnorr,2048,128,iCertGen,0,17,1194700,44
schnorr,2048,128,SKGen,0,17,57800,44
schnorr,2048,128,PKRecon,0,17,5174300,44
schnorr,2048,128,iCertGen,0,18,1196900,44
schnorr,2048,128,SKGen,0,18,58000,44
schnorr,2048,128,PKRecon,0,18,5050000,44
schnorr,2048,128,iCertGen,0,19,1153700,44
schnorr,2048,128,SKGen,0,19,59500,44
schnorr,2048,128,PKRecon,0,19,5405000,44
schnorr,2048,128,iCertGen,0,20,1146900,44
schnorr,2048,128,SKGen,0,20,60600,44
schnorr,2048,128,PKRecon,0,20,5364900,44
schnorr,2048,128,iCertGen,0,21,1191400,44
schnorr,2048,128,SKGen,0,21,55400,44
schnorr,2048,128,PKRecon,0,21,4905300,44
schnorr,2048,128,iCertGen,0,22,1229300,44
schnorr,2048,128,SKGen,0,22,54600,44
schnorr,2048,128,PKRecon,0,22,4916300,44
schnorr,2048,128,iCertGen,0,23,1240400,44
schnorr,2048,128,SKGen,0,23,59400,44
schnorr,2048,128,PKRecon,0,23,5462600,44
schnorr,2048,128,iCertGen,0,24,1167300,44
schnorr,2048,128,SKGen,0,24,58400,44
schnorr,2048,128,PKRecon,0,24,5313500,44
schnorr,2048,128,iCertGen,0,25,1212800,44
schnorr,2048,128,SKGen,0,25,59200,44
schnorr,2048,128,PKRecon,0,25,5270600,44
schnorr,2048,128,iCertGen,0,26,1234900,44
schnorr,2048,128,SKGen,0,26,58300,44
schnorr,2048,128,PKRecon,0,26,5287100,44
schnorr,2048,128,iCertGen,0,27,1186700,44
schnorr,2048,128,SKGen,0,27,54800,44
schnorr,2048,128,PKRecon,0,27,4907500,44
schnorr,2048,128,iCertGen,0,28,1277500,44
schnorr,2048,128,SKGen,0,28,57500,44
schnorr,2048,128,PKRecon,0,28,5023600,44
schnorr,2048,128,iCertGen,0,29,1136600,44
schnorr,2048,128,SKGen,0,29,57100,44
schnorr,2048,128,PKRecon,0,29,5032900,44
schnorr,2048,128,iCertGen,0,30,1211500,44
schnorr,2048,128,SKGen,0,30,56500,44
schnorr,2048,128,PKRecon,0,30,5393800,44
schnorr,2048,128,iCertGen,0,31,1209600,44
schnorr,2048,128,SKGen,0,31,66000,44
schnorr,2048,128,PKRecon,0,31,5370500,44
schnorr,2048,128,iCertGen,0,32,1195800,44
schnorr,2048,128,SKGen,0,32,60700,44
schnorr,2048,128,PKRecon,0,32,5448400,44
schnorr,2048,128,iCertGen,0,33,1138600,44
schnorr,2048,128,SKGen,0,33,58100,44
schnorr,2048,128,PKRecon,0,33,5245900,44
schnorr,2048,128,iCertGen,0,34,1219200,44
schnorr,2048,128,SKGen,0,34,56900,44
schnorr,2048,128,PKRecon,0,34,4995100,44
schnorr,2048,128,iCertGen,0,35,1186300,44
schnorr,2048,128,SKGen,0,35,56400,44
schnorr,2048,128,PKRecon,0,35,4836500,44
schnorr,2048,128,iCertGen,0,36,1131000,44
schnorr,2048,128,SKGen,0,36,58100,44
schnorr,2048,128,PKRecon,0,36,4940000,44
schnorr,2048,128,iCertGen,0,37,1203700,44
schnorr,2048,128,SKGen,0,37,56800,44
schnorr,2048,128,PKRecon,0,37,5070200,44
schnorr,2048,128,iCertGen,0,38,1238300,44
schnorr,2048,128,SKGen,0,38,59500,44
schnorr,2048,128,PKRecon,0,38,5103800,44
schnorr,2048,128,iCertGen,0,39,1192600,44
schnorr,2048,128,SKGen,0,39,58300,44
schnorr,2048,128,PKRecon,0,39,5105300,44
schnorr,2048,128,iCertGen,0,40,1168500,44
schnorr,2048,128,SKGen,0,40,58800,44
schnorr,2048,128,PKRecon,0,40,5117400,44
schnorr,2048,128,iCertGen,0,41,1164800,44
schnorr,2048,128,SKGen,0,41,57900,44
schnorr,2048,128,PKRecon,0,41,5134200,44
schnorr,2048,128,iCertGen,0,42,1249200,44
schnorr,2048,128,SKGen,0,42,59000,44
schnorr,2048,128,PKRecon,0,42,5327800,44
schnorr,2048,128,iCertGen,0,43,1241000,44
schnorr,2048,128,SKGen,0,43,58800,44
schnorr,2048,128,PKRecon,0,43,5172300,44
schnorr,2048,128,iCertGen,0,44,1256000,44
schnorr,2048,128,SKGen,0,44,56000,44
schnorr,2048,128,PKRecon,0,44,5012900,44
schnorr,2048,128,iCertGen,0,45,1236000,44
schnorr,2048,128,SKGen,0,45,56500,44
schnorr,2048,128,PKRecon,0,45,4884200,44
schnorr,2048,128,iCertGen,0,46,1201500,44
schnorr,2048,128,SKGen,0,46,66400,44
schnorr,2048,128,PKRecon,0,46,5546600,44
schnorr,2048,128,iCertGen,0,47,1188600,44
schnorr,2048,128,SKGen,0,47,59800,44
schnorr,2048,128,PKRecon,0,47,5474100,44
schnorr,2048,128,iCertGen,0,48,1693100,44
schnorr,2048,128,SKGen,0,48,74100,44
schnorr,2048,128,PKRecon,0,48,7366900,44
schnorr,2048,128,iCertGen,0,49,1172500,44
schnorr,2048,128,SKGen,0,49,59300,44
schnorr,2048,128,PKRecon,0,49,5169300,44
schnorr,2048,128,iCertGen,0,50,1526200,44
schnorr,2048,128,SKGen,0,50,57400,44
schnorr,2048,128,PKRecon,0,50,5161300,44
schnorr,2048,128,iCertGen,0,51,1626900,44
schnorr,2048,128,SKGen,0,51,72500,44
schnorr,2048,128,PKRecon,0,51,5629500,44
schnorr,2048,128,iCertGen,0,52,1281600,44
schnorr,2048,128,SKGen,0,52,59100,44
schnorr,2048,128,PKRecon,0,52,5081500,44
schnorr,2048,128,iCertGen,0,53,1218300,44
schnorr,2048,128,SKGen,0,53,58700,44
schnorr,2048,128,PKRecon,0,53,5151400,44
schnorr,2048,128,iCertGen,0,54,1217600,44
schnorr,2048,128,SKGen,0,54,60400,44
schnorr,2048,128,PKRecon,0,54,5159500,44
schnorr,2048,128,iCertGen,0,55,1165000,44
schnorr,2048,128,SKGen,0,55,59900,44
schnorr,2048,128,PKRecon,0,55,5182600,44
schnorr,2048,128,iCertGen,0,56,1130400,44
schnorr,2048,128,SKGen,0,56,57600,44
