scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
schnorr,2048,128,PKRecon,0,3,5406700,44,33,32
schnorr,2048,128,Setup,0,4,592700,0,33,32
schnorr,2048,128,iCertGen,0,4,1214800,44,33,32
schnorr,2048,128,SKGen,0,4,56100,44,33,32
schnorr,2048,128,PKRecon,0,4,7554200,44,33,32
schnorr,2048,128,Setup,0,5,684500,0,33,32
schnorr,2048,128,iCertGen,0,5,1409600,44,33,32
schnorr,2048,128,SKGen,0,5,56900,44,33,32
schnorr,2048,128,PKRecon,0,5,5473400,44,33,32
schnorr,2048,128,Setup,0,6,576500,0,33,32
schnorr,2048,128,iCertGen,0,6,1321000,44,33,32
schnorr,2048,128,SKGen,0,6,55100,44,33,32
schnorr,2048,128,PKRecon,0,6,5108100,44,33,32
schnorr,2048,128,Setup,0,7,588100,0,33,32
schnorr,2048,128,iCertGen,0,7,1221400,44,33,32
schnorr,2048,128,SKGen,0,7,54500,44,33,32
schnorr,2048,128,PKRecon,0,7,5274100,44,33,32
schnorr,2048,128,Setup,0,8,545000,0,33,32
schnorr,2048,128,iCertGen,0,8,1258500,44,33,32
schnorr,2048,128,SKGen,0,8,56300,44,33,32
schnorr,2048,128,PKRecon,0,8,5409600,44,33,32
schnorr,2048,128,Setup,0,9,529000,0,33,32
schnorr,2048,128,iCertGen,0,9,1794100,44,33,32
schnorr,2048,128,SKGen,0,9,54600,44,33,32
schnorr,2048,128,PKRecon,0,9,5754900,44,33,32
schnorr,2048,128,Setup,0,10,584700,0,33,32
schnorr,2048,128,iCertGen,0,10,1256000,44,33,32
schnorr,2048,128,SKGen,0,10,56800,44,33,32
schnorr,2048,128,PKRecon,0,10,5516900,44,33,32
schnorr,2048,128,Setup,0,11,563100,0,33,32
schnorr,2048,128,iCertGen,0,11,1349300,44,33,32
schnorr,2048,128,SKGen,0,11,59300,44,33,32
schnorr,2048,128,PKRecon,0,11,5384800,44,33,32
schnorr,2048,128,Setup,0,12,552500,0,33,32
schnorr,2048,128,iCertGen,0,12,1186700,44,33,32
schnorr,2048,128,SKGen,0,12,61100,44,33,32
schnorr,2048,128,PKRecon,0,12,5302100,44,33,32
schnorr,2048,128,Setup,0,13,516600,0,33,32
schnorr,2048,128,iCertGen,0,13,1204900,44,33,32
schnorr,2048,128,SKGen,0,13,54600,44,33,32
schnorr,2048,128,PKRecon,0,13,5379700,44,33,32
schnorr,2048,128,Setup,0,14,566200,0,33,32
schnorr,2048,128,iCertGen,0,14,1276800,44,33,32
schnorr,2048,128,SKGen,0,14,57200,44,33,32
schnorr,2048,128,PKRecon,0,14,5149700,44,33,32
schnorr,2048,128,Setup,0,15,549400,0,33,32
schnorr,2048,128,iCertGen,0,15,1192800,44,33,32
schnorr,2048,128,SKGen,0,15,55900,44,33,32
schnorr,2048,128,PKRecon,0,15,5576800,44,33,32
schnorr,2048,128,Setup,0,16,557600,0,33,32
schnorr,2048,128,iCertGen,0,16,1130600,44,33,32
schnorr,2048,128,SKGen,0,16,56500,44,33,32
schnorr,2048,128,PKRecon,0,16,5408200,44,33,32
schnorr,2048,128,Setup,0,17,524200,0,33,32
schnorr,2048,128,iCertGen,0,17,1157500,44,33,32
schnorr,2048,128,SKGen,0,17,53600,44,33,32
schnorr,2048,128,PKRecon,0,17,5184300,44,33,32
schnorr,2048,128,Setup,0,18,526200,0,33,32
schnorr,2048,128,iCertGen,0,18,1170800,44,33,32
schnorr,2048,128,SKGen,0,18,55400,44,33,32
schnorr,2048,128,PKRecon,0,18,5137000,44,33,32
schnorr,2048,128,Setup,0,19,526400,0,33,32
schnorr,2048,128,iCertGen,0,19,1177700,44,33,32
schnorr,2048,128,SKGen,0,19,54900,44,33,32
schnorr,2048,128,PKRecon,0,19,5186900,44,33,32
schnorr,2048,128,Setup,0,20,536200,0,33,32
schnorr,2048,128,iCertGen,0,20,1185800,44,33,32
schnorr,2048,128,SKGen,0,20,55700,44,33,32
schnorr,2048,128,PKRecon,0,20,5193100,44,33,32
schnorr,2048,128,Setup,0,21,548600,0,33,32
schnorr,2048,128,iCertGen,0,21,1179900,44,33,32
schnorr,2048,128,SKGen,0,21,55100,44,33,32
schnorr,2048,128,PKRecon,0,21,5145500,44,33,32
schnorr,2048,128,Setup,0,22,515800,0,33,32
schnorr,2048,128,iCertGen,0,22,1231600,44,33,32
schnorr,2048,128,SKGen,0,22,62000,44,33,32
schnorr,2048,128,PKRecon,0,22,5314300,44,33,32
schnorr,2048,128,Setup,0,23,501500,0,33,32
schnorr,2048,128,iCertGen,0,23,1193300,44,33,32
schnorr,2048,128,SKGen,0,23,57800,44,33,32
schnorr,2048,128,PKRecon,0,23,5378400,44,33,32
schnorr,2048,128,Setup,0,24,552200,0,33,32
schnorr,2048,128,iCertGen,0,24,1211900,44,33,32
schnorr,2048,128,SKGen,0,24,57300,44,33,32
schnorr,2048,128,PKRecon,0,24,4961800,44,33,32
schnorr,2048,128,Setup,0,25,549700,0,33,32
schnorr,2048,128,iCertGen,0,25,1117600,44,33,32
schnorr,2048,128,SKGen,0,25,56400,44,33,32
schnorr,2048,128,PKRecon,0,25,5386600,44,33,32
schnorr,2048,128,Setup,0,26,516600,0,33,32
schnorr,2048,128,iCertGen,0,26,1136500,44,33,32
schnorr,2048,128,SKGen,0,26,56900,44,33,32
schnorr,2048,128,PKRecon,0,26,5476000,44,33,32
schnorr,2048,128,Setup,0,27,523800,0,33,32
schnorr,2048,128,iCertGen,0,27,1617400,44,33,32
schnorr,2048,128,SKGen,0,27,60800,44,33,32
schnorr,2048,128,PKRecon,0,27,5255700,44,33,32
schnorr,2048,128,Setup,0,28,536800,0,33,32
schnorr,2048,128,iCertGen,0,28,1225600,44,33,32
schnorr,2048,128,SKGen,0,28,58700,44,33,32
schnorr,2048,128,PKRecon,0,28,5457000,44,33,32
schnorr,2048,128,Setup,0,29,529500,0,33,32
schnorr,2048,128,iCertGen,0,29,1212600,44,33,32
schnorr,2048,128,SKGen,0,29,56800,44,33,32
schnorr,2048,128,PKRecon,0,29,5262800,44,33,32
schnorr,2048,128,Setup,0,30,585400,0,33,32
schnorr,2048,128,iCertGen,0,30,1194300,44,33,32
schnorr,2048,128,SKGen,0,30,56500,44,33,32
schnorr,2048,128,PKRecon,0,30,5365600,44,33,32
schnorr,2048,128,Setup,0,31,546200,0,33,32
schnorr,2048,128,iCertGen,0,31,1168200,44,33,32
schnorr,2048,128,SKGen,0,31,57100,44,33,32
schnorr,2048,128,PKRecon,0,31,5464800,44,33,32
schnorr,2048,128,Setup,0,32,567900,0,33,32
schnorr,2048,128,iCertGen,0,32,1129300,44,33,32
schnorr,2048,128,SKGen,0,32,54900,44,33,32
schnorr,2048,128,PKRecon,0,32,5345700,44,33,32
schnorr,2048,128,Setup,0,33,548600,0,33,32
schnorr,2048,128,iCertGen,0,33,1145100,44,33,32
schnorr,2048,128,SKGen,0,33,56300,44,33,32
schnorr,2048,128,PKRecon,0,33,5390600,44,33,32
schnorr,2048,128,Setup,0,34,505000,0,33,32
schnorr,2048,128,iCertGen,0,34,1159700,44,33,32
schnorr,2048,128,SKGen,0,34,55600,44,33,32
schnorr,2048,128,PKRecon,0,34,5086800,44,33,32
schnorr,2048,128,Setup,0,35,530800,0,33,32
schnorr,2048,128,iCertGen,0,35,1166800,44,33,32
schnorr,2048,128,SKGen,0,35,56400,44,33,32
schnorr,2048,128,PKRecon,0,35,5150400,44,33,32
schnorr,2048,128,Setup,0,36,515300,0,33,32
schnorr,2048,128,iCertGen,0,36,1175500,44,33,32
