scheme,bits,lam,op,n,mean_ns,median_ns,p95_ns,p99_ns,min_ns,max_ns,icert_len_bytes
gq,3072,128,PKRecon,200,3796974,3667850,4584700,4760800,3274600,4847400,395
gq,3072,128,SKGen,200,3796469,3649800,4576900,4815800,3265100,4945200,395
gq,3072,128,iCertGen,200,5911786,5687300,7109800,7304900,5258300,7378900,395
