scheme,bits,lam,op,n,mean_ns,median_ns,p95_ns,p99_ns,min_ns,max_ns,icert_len_bytes
bls,2048,128,PKRecon,200,37957692,37775150,40300100,42784600,34906700,48779800,59
bls,2048,128,SKGen,200,57436,56850,61300,72300,52000,79400,59
bls,2048,128,iCertGen,200,20096932,19949350,20946300,26258300,19051400,26531600,59
gq,3072,128,PKRecon,200,3796974,3667850,4584700,4760800,3274600,4847400,395
gq,3072,128,SKGen,200,3796469,3649800,4576900,4815800,3265100,4945200,395
gq,3072,128,iCertGen,200,5911786,5687300,7109800,7304900,5258300,7378900,395
schnorr,2048,128,PKRecon,200,5259580,5172800,5684500,7268200,4720400,10896300,44
schnorr,2048,128,SKGen,200,59030,58300,65400,74400,53600,76600,44
schnorr,2048,128,iCertGen,200,1225898,1207350,1387000,1626900,1096300,2235200,44
