scheme,bits,lam,op,n,mean_ns,median_ns,p95_ns,p99_ns,min_ns,max_ns,icert_len_bytes
schnorr,2048,128,PKRecon,10,5132720,5146950,5237700,5237700,4967300,5237700,44
schnorr,2048,128,SKGen,10,57950,57800,60300,60300,55400,60300,44
schnorr,2048,128,iCertGen,10,1186150,1180650,1238000,1238000,1138800,1238000,44
