scheme,bits,lam,op,n,mean_ns,median_ns,p95_ns,p99_ns,min_ns,max_ns,icert_len_bytes
bls,2048,128,PKRecon,200,37957692,37775150,40300100,42784600,34906700,48779800,59
bls,2048,128,SKGen,200,57436,56850,61300,72300,52000,79400,59
bls,2048,128,iCertGen,200,20096932,19949350,20946300,26258300,19051400,26531600,59
