scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes
bls,2048,128,SKGen,0,19,58000,59
bls,2048,128,PKRecon,0,19,37857800,59
bls,2048,128,iCertGen,0,20,20846800,59
bls,2048,128,SKGen,0,20,55100,59
bls,2048,128,PKRecon,0,20,36347800,59
bls,2048,128,iCertGen,0,21,20233800,59
bls,2048,128,SKGen,0,21,57100,59
bls,2048,128,PKRecon,0,21,38818500,59
bls,2048,128,iCertGen,0,22,20036800,59
bls,2048,128,SKGen,0,22,57900,59
bls,2048,128,PKRecon,0,22,38031400,59
bls,2048,128,iCertGen,0,23,20360900,59
bls,2048,128,SKGen,0,23,55700,59
bls,2048,128,PKRecon,0,23,37144300,59
bls,2048,128,iCertGen,0,24,20364400,59
bls,2048,128,SKGen,0,24,59800,59
bls,2048,128,PKRecon,0,24,40327200,59
bls,2048,128,iCertGen,0,25,20652500,59
bls,2048,128,SKGen,0,25,54800,59
bls,2048,128,PKRecon,0,25,37151400,59
bls,2048,128,iCertGen,0,26,19585200,59
bls,2048,128,SKGen,0,26,57600,59
bls,2048,128,PKRecon,0,26,35632300,59
bls,2048,128,iCertGen,0,27,20695900,59
bls,2048,128,SKGen,0,27,56000,59
bls,2048,128,PKRecon,0,27,37735900,59
bls,2048,128,iCertGen,0,28,20307800,59
bls,2048,128,SKGen,0,28,60600,59
bls,2048,128,PKRecon,0,28,37445500,59
bls,2048,128,iCertGen,0,29,20054900,59
bls,2048,128,SKGen,0,29,72300,59
bls,2048,128,PKRecon,0,29,38638900,59
bls,2048,128,iCertGen,0,30,20232600,59
bls,2048,128,SKGen,0,30,57200,59
bls,2048,128,PKRecon,0,30,38963200,59
bls,2048,128,iCertGen,0,31,20338700,59
bls,2048,128,SKGen,0,31,56700,59
bls,2048,128,PKRecon,0,31,36619300,59
bls,2048,128,iCertGen,0,32,20143100,59
bls,2048,128,SKGen,0,32,56500,59
bls,2048,128,PKRecon,0,32,36815800,59
bls,2048,128,iCertGen,0,33,20102200,59
bls,2048,128,SKGen,0,33,60500,59
bls,2048,128,PKRecon,0,33,38962600,59
bls,2048,128,iCertGen,0,34,19551800,59
bls,2048,128,SKGen,0,34,57600,59
bls,2048,128,PKRecon,0,34,38000800,59
bls,2048,128,iCertGen,0,35,19845500,59
bls,2048,128,SKGen,0,35,55500,59
bls,2048,128,PKRecon,0,35,37900900,59
bls,2048,128,iCertGen,0,36,19597700,59
bls,2048,128,SKGen,0,36,57000,59
bls,2048,128,PKRecon,0,36,38655300,59
bls,2048,128,iCertGen,0,37,19195500,59
bls,2048,128,SKGen,0,37,56000,59
bls,2048,128,PKRecon,0,37,38645600,59
bls,2048,128,iCertGen,0,38,19837000,59
bls,2048,128,SKGen,0,38,59900,59
bls,2048,128,PKRecon,0,38,37904700,59
bls,2048,128,iCertGen,0,39,19816500,59
bls,2048,128,SKGen,0,39,54800,59
bls,2048,128,PKRecon,0,39,38567200,59
bls,2048,128,iCertGen,0,40,19949300,59
bls,2048,128,SKGen,0,40,56100,59
bls,2048,128,PKRecon,0,40,37978400,59
bls,2048,128,iCertGen,0,41,19953200,59
bls,2048,128,SKGen,0,41,54900,59
bls,2048,128,PKRecon,0,41,36033300,59
bls,2048,128,iCertGen,0,42,19798800,59
bls,2048,128,SKGen,0,42,60100,59
bls,2048,128,PKRecon,0,42,39337900,59
bls,2048,128,iCertGen,0,43,19771000,59
